id,name,type,category,mechanism,designer,artist,publisher,min_players,max_players,playing_time,min_age,complexity_rating,integrates_with
233078.0,Twilight Imperium: Fourth Edition,boardgame,Civilization|Economic|Exploration|Negotiation|Political|Science Fiction|Space Exploration|Wargame,Action Drafting|Area-Impulse|Dice Rolling|Follow|Grid Movement|Hexagon Grid|Increase Value of Unchosen Resources|King of the Hill|Modular Board|Movement Points|Race|Tech Trees / Tech Tracks|Trading|Variable Phase Order|Variable Player Powers|Variable Set-up|Voting,Dane Beltrami|Corey Konieczka|Christian T. Petersen,Scott Schomburg,Fantasy Flight Games|ADC Blackfire Entertainment|Arclight Games|Asterion Press|Delta Vision Publishing|Edge Entertainment|Galakta|Galápagos Jogos|Geekach Games|Hobby World|Playfun Games|sternenschimmermeer,3,6,480,14,4.3325,
316554.0,Dune: Imperium,boardgame,Movies / TV / Radio theme|Novel-based|Political|Science Fiction,"Card Play Conflict Resolution|Deck, Bag, and Pool Building|Delayed Purchase|Force Commitment|Increase Value of Unchosen Resources|Multi-Use Cards|Open Drafting|Race|Solo / Solitaire Game|Tags|Take That|Turn Order: Progressive|Variable Player Powers|Worker Placement",Paul Dennen,Clay Brooks|Brett Nienburg|Raul Ramos|Nate Storm,Dire Wolf|Arclight Games|Broadway Toys LTD|Galápagos Jogos|Geekach Games|Lavka Games|Lucky Duck Games|MIPL|Reflexshop|REXhry|sternenschimmermeer|Tabletop KZ|YingDi (旅法师营地),1,4,120,14,3.0605,Dune: Imperium – Uprising
167791.0,Terraforming Mars,boardgame,Economic|Environmental|Industry / Manufacturing|Science Fiction|Space Exploration|Territory Building,Closed Drafting|Contracts|End Game Bonuses|Hand Management|Hexagon Grid|Income|Set Collection|Solo / Solitaire Game|Tags|Take That|Tech Trees / Tech Tracks|Tile Placement|Turn Order: Progressive|Variable Player Powers|Variable Set-up|Victory Points as a Resource,Jacob Fryxelius,Isaac Fryxelius|Daniel Fryxelius,"FryxGames|Arclight Games|Brädspel.se|Fantasmagoria|Ghenos Games|Green Elephant Games|Intrafin Games|Kaissa Chess & Games|Kilogames|Korea Boardgames|Lautapelit.fi|Lavka Games|Lex Games|Maldito Games|MeepleBR|MINDOK|MIPL|MYBG Co., Ltd.|NeoTroy Games|Rebel Sp. z o.o.|Reflexshop|Schwerkraft-Verlag|Siam Board Games|Stronghold Games|SuperHeated Neurons|Surfin' Meeple China",1,5,120,12,3.2658,
224517.0,Brass: Birmingham,boardgame,Age of Reason|Economic|Industry / Manufacturing|Post-Napoleonic|Trains|Transportation,Hand Management|Income|Loans|Market|Network and Route Building|Tags|Tech Trees / Tech Tracks|Turn Order: Stat-Based|Variable Set-up,Gavan Brown|Matt Tolman|Martin Wallace,Gavan Brown|Lina Cossette|David Forest|Gui Landgraf|Damien Mammoliti|Matt Tolman,Roxley|Arclight Games|Board Game Rookie|BoardM Factory|CMON Global Limited|Conclave Editora|CrowD Games|Dexker Games|Funforge|Gém Klub Kft.|Ghenos Games|Giant Roc|Lanlalen|Lord of Boards|Maldito Games|PHALANX|Rebel Sp. z o.o.|TLAMA games|White Goblin Games|盒拍工作室 Hepa Studio,2,4,120,14,3.8693,
174430.0,Gloomhaven,boardgame,Adventure|Exploration|Fantasy|Fighting|Miniatures,Action Queue|Action Retrieval|Campaign / Battle Card Driven|Card Play Conflict Resolution|Communication Limits|Cooperative Game|Critical Hits and Failures|Deck Construction|Grid Movement|Hand Management|Hexagon Grid|Legacy Game|Line of Sight|Modular Board|Multi-Use Cards|Narrative Choice / Paragraph|Once-Per-Game Abilities|Role Playing|Scenario / Mission / Campaign Game|Simultaneous Action Selection|Solo / Solitaire Game|Storytelling|Tags|Variable Player Powers,Isaac Childres,Alexandr Elichev|Josh T. McDowell|Alvaro Nebot,"Cephalofair Games|Albi|Albi Polska|Arclight Games|Feuerland Spiele|Galápagos Jogos|Games Warehouse|Gém Klub Kft.|Hobby World|Korea Boardgames|MYBG Co., Ltd.",1,4,120,14,3.9135,Frosthaven|Gloomhaven: Jaws of the Lion
342942.0,Ark Nova,boardgame,Animals|Economic|Environmental,Action Queue|End Game Bonuses|Grid Coverage|Hand Management|Hexagon Grid|Income|Increase Value of Unchosen Resources|Open Drafting|Set Collection|Solo / Solitaire Game|Tags|Tile Placement|Variable Player Powers|Variable Set-up,Mathias Wigge,Steffen Bieker|Loïc Billiau|Dennis Lohausen|Christof Tisch,Feuerland Spiele|Capstone Games|CMON Global Limited|Cranio Creations|Game Harbor|Gém Klub Kft.|Grok Games|IGAMES|Korea Boardgames|Lautapelit.fi|Ludofy Creative|Maldito Games|MINDOK|MIPL|Portal Games|Regatul Jocurilor|Super Meeple|テンデイズゲームズ (TendaysGames)|Tower Tactic Games|White Goblin Games,1,4,150,14,3.7807,
161936.0,Pandemic Legacy: Season 1,boardgame,Environmental|Medical,Action Points|Cooperative Game|Hand Management|Legacy Game|Point to Point Movement|Scenario / Mission / Campaign Game|Set Collection|Tags|Trading|Variable Player Powers,Rob Daviau|Matt Leacock,Chris Quilliams,Z-Man Games|Asterion Press|Devir|Filosofia Éditions|Gém Klub Kft.|Hobby Japan|Jolly Thinkers|Korea Boardgames|Lacerta|Lifestyle Boardgames Ltd|MINDOK|Ігромаг,2,4,60,13,2.8289,
291457.0,Gloomhaven: Jaws of the Lion,boardgame,Adventure|Exploration|Fantasy|Fighting|Miniatures,Action Queue|Action Retrieval|Campaign / Battle Card Driven|Communication Limits|Cooperative Game|Critical Hits and Failures|Deck Construction|Grid Movement|Hand Management|Hexagon Grid|Legacy Game|Line of Sight|Multi-Use Cards|Once-Per-Game Abilities|Player Elimination|Role Playing|Scenario / Mission / Campaign Game|Simultaneous Action Selection|Solo / Solitaire Game|Variable Player Powers,Isaac Childres,Francesca Baerald|David Demaret|Alexandr Elichev,Cephalofair Games|Albi|Albi Polska|Arclight Games|CoolPlay|Feuerland Spiele|Galápagos Jogos|Gém Klub Kft.|Hobby World|Korea Boardgames|Lord of Boards|Meanbook Games|Siam Board Games,1,4,120,14,3.6394,Frosthaven|Gloomhaven
162886.0,Spirit Island,boardgame,Environmental|Fantasy|Fighting|Mythology|Territory Building,Action Retrieval|Area Majority / Influence|Automatic Resource Growth|Campaign / Battle Card Driven|Cooperative Game|Hand Management|Modular Board|Simultaneous Action Selection|Solo / Solitaire Game|Tags|Variable Player Powers|Variable Set-up,R. Eric Reuss,Jason Behnke|Loïc Berger|Loïc Billiau|Kat G Birmelin|Cari Corene|Lucas Durham|Rocky Hammer|Sydni Kruger|Nolan Nasser|Jorge Ramos|Adam Rebottaro|Moro Rogers|Graham Sternberg|Shane Tyree|Joshua Wright (I),"Greater Than Games, LLC|999 Games|Ace Studios|Arrakis Games|BoardM Factory|Engames|Fabled Nexus|Fox in the Box|Games7Days|Gém Klub Kft.|Ghenos Games|Hobby World|Intrafin Games|Lacerta|One Moment Games|Pegasus Spiele|Portal Games|REXhry|Siam Board Games",1,4,120,13,4.0737,Horizons of Spirit Island
115746.0,War of the Ring: Second Edition,boardgame,Fantasy|Fighting|Novel-based|Territory Building|Wargame,Action Drafting|Area Majority / Influence|Area Movement|Campaign / Battle Card Driven|Card Play Conflict Resolution|Dice Rolling|Events|Hand Management|Movement Points|Team-Based Game|Variable Player Powers|Variable Set-up,Roberto Di Meglio|Marco Maggi|Francesco Nepitello,John Howe|Fabio Maiorana,Ares Games|Angry Lion Games|Devir|GaGa Games|Galakta|Geekach Games|Heidelberger Spieleverlag|Nuts! Publishing|Planplay|Red Glove|REXhry|Schwerkraft-Verlag|Sophisticated Games|Zhiyanjia,2,4,180,13,4.2163,
